edge_axis-x,edge_axis-y,X1,Y1,X2,Y2,conner_axis-X,conner_axis-Y
140,118,29.0,91.0,39.0,78.0,218.0,68.0
140,119,205.0,57.0,215.0,67.0,14.0,159.0
140,120,85.0,140.0,174.0,140.0,25.0,97.0
140,121,57.0,60.0,66.0,52.0,61.0,55.0
140,122,190.0,46.0,203.0,57.0,190.0,46.0
140,123,211.0,62.0,225.0,76.0,14.0,148.0
140,124,202.0,55.0,207.0,60.0,218.0,68.0
140,125,17.0,124.0,17.0,122.0,14.0,159.0
140,126,36.0,80.0,57.0,59.0,25.0,97.0
140,127,98.0,38.0,104.0,36.0,61.0,55.0
140,128,20.0,113.0,23.0,102.0,190.0,46.0
140,129,225.0,78.0,230.0,83.0,14.0,148.0
140,130,67.0,52.0,69.0,51.0,218.0,68.0
140,131,15.0,163.0,15.0,131.0,14.0,159.0
140,132,126.0,33.0,144.0,33.0,25.0,97.0
140,133,83.0,169.0,83.0,150.0,61.0,55.0
140,134,177.0,142.0,177.0,161.0,190.0,46.0
140,135,70.0,50.0,84.0,43.0,14.0,148.0
140,136,176.0,41.0,186.0,45.0,218.0,68.0
140,137,159.0,36.0,161.0,36.0,14.0,159.0
140,138,24.0,100.0,28.0,94.0,25.0,97.0
140,139,29.0,91.0,39.0,78.0,61.0,55.0
140,140,205.0,57.0,215.0,67.0,190.0,46.0
140,141,85.0,140.0,174.0,140.0,14.0,148.0
140,142,57.0,60.0,66.0,52.0,218.0,68.0
140,143,190.0,46.0,203.0,57.0,14.0,159.0
140,144,211.0,62.0,225.0,76.0,25.0,97.0
140,145,202.0,55.0,207.0,60.0,61.0,55.0
140,146,17.0,124.0,17.0,122.0,190.0,46.0
140,147,36.0,80.0,57.0,59.0,14.0,148.0
140,148,98.0,38.0,104.0,36.0,218.0,68.0
140,149,20.0,113.0,23.0,102.0,14.0,159.0
140,150,225.0,78.0,230.0,83.0,25.0,97.0
140,151,67.0,52.0,69.0,51.0,61.0,55.0
140,152,15.0,163.0,15.0,131.0,190.0,46.0
140,153,126.0,33.0,144.0,33.0,14.0,148.0
140,154,83.0,169.0,83.0,150.0,218.0,68.0
140,155,177.0,142.0,177.0,161.0,14.0,159.0
140,156,70.0,50.0,84.0,43.0,25.0,97.0
140,157,176.0,41.0,186.0,45.0,61.0,55.0
140,158,159.0,36.0,161.0,36.0,190.0,46.0
140,159,24.0,100.0,28.0,94.0,14.0,148.0
140,160,29.0,91.0,39.0,78.0,218.0,68.0
140,161,205.0,57.0,215.0,67.0,14.0,159.0
140,162,85.0,140.0,174.0,140.0,25.0,97.0
140,163,57.0,60.0,66.0,52.0,61.0,55.0
140,164,190.0,46.0,203.0,57.0,190.0,46.0
140,165,211.0,62.0,225.0,76.0,14.0,148.0
140,166,202.0,55.0,207.0,60.0,218.0,68.0
140,167,17.0,124.0,17.0,122.0,14.0,159.0
140,168,36.0,80.0,57.0,59.0,25.0,97.0
140,169,98.0,38.0,104.0,36.0,61.0,55.0
140,170,20.0,113.0,23.0,102.0,190.0,46.0
140,171,225.0,78.0,230.0,83.0,14.0,148.0
140,172,67.0,52.0,69.0,51.0,218.0,68.0
140,173,15.0,163.0,15.0,131.0,14.0,159.0
140,174,126.0,33.0,144.0,33.0,25.0,97.0
141,15,83.0,169.0,83.0,150.0,61.0,55.0
141,83,177.0,142.0,177.0,161.0,190.0,46.0
141,174,70.0,50.0,84.0,43.0,14.0,148.0
141,176,176.0,41.0,186.0,45.0,218.0,68.0
142,15,159.0,36.0,161.0,36.0,14.0,159.0
142,83,24.0,100.0,28.0,94.0,25.0,97.0
142,177,29.0,91.0,39.0,78.0,61.0,55.0
143,15,205.0,57.0,215.0,67.0,190.0,46.0
143,83,85.0,140.0,174.0,140.0,14.0,148.0
143,177,57.0,60.0,66.0,52.0,218.0,68.0
144,15,190.0,46.0,203.0,57.0,14.0,159.0
144,83,211.0,62.0,225.0,76.0,25.0,97.0
144,177,202.0,55.0,207.0,60.0,61.0,55.0
145,15,17.0,124.0,17.0,122.0,190.0,46.0
145,82,36.0,80.0,57.0,59.0,14.0,148.0
145,177,98.0,38.0,104.0,36.0,218.0,68.0
146,15,20.0,113.0,23.0,102.0,14.0,159.0
146,83,225.0,78.0,230.0,83.0,25.0,97.0
146,177,67.0,52.0,69.0,51.0,61.0,55.0
